 Starting simulation with          108  atoms for       10000  steps
     NFI           TEMP                 EKIN                  EPOT                ETOT
    6400          52.64913244          16.79226575        -154.11397346        -137.32170771
    6500          52.85221689          16.85703886        -154.31547127        -137.45843241
    6600          51.98686820          16.58103877        -154.05176797        -137.47072919
    6700          51.06866046          16.28817947        -153.77832546        -137.49014599
    6800          51.56416988          16.44622055        -153.81807843        -137.37185788
    6900          52.58228021          16.77094345        -154.16727948        -137.39633602
    7000          53.53678004          17.07537800        -154.46809571        -137.39271770
    7100          48.12597539          15.34961985        -152.67562555        -137.32600570
    7200          55.78222533          17.79155531        -155.09444194        -137.30288662
    7300          51.50143063          16.42621008        -153.78639921        -137.36018913
    7400          52.36778535          16.70253103        -154.09426084        -137.39172981
    7500          54.38248619          17.34511317        -154.72109114        -137.37597797
    7600          55.18886162          17.60230393        -155.01775393        -137.41545000
    7700          51.53238813          16.43608387        -153.85509039        -137.41900652
    7800          51.80812105          16.52402797        -153.90834199        -137.38431403
    7900          51.46990775          16.41615596        -153.82777673        -137.41162077
    8000          50.59130456          16.13592839        -153.58671877        -137.45079038
    8100          54.29866744          17.31837946        -154.66396186        -137.34558241
    8200          54.93009155          17.51977008        -154.94316982        -137.42339975
    8300          53.83497342          17.17048579        -154.53918431        -137.36869852
    8400          55.00282890          17.54296941        -154.92016821        -137.37719880
    8500          53.54133200          17.07682984        -154.33661728        -137.25978745
    8600          50.57713843          16.13141015        -153.46026137        -137.32885122
    8700          51.50009564          16.42578428        -153.81394762        -137.38816334
    8800          51.83559121          16.53278948        -153.92498756        -137.39219808
    8900          51.36395318          16.38236210        -153.74737480        -137.36501270
    9000          49.24965383          15.70801335        -153.07301452        -137.36500117
    9100          45.57982201          14.53753269        -151.96481668        -137.42728398
    9200          47.94784261          15.29280499        -152.62607891        -137.33327392
    9300          53.80573876          17.16116149        -154.55748979        -137.39632830
    9400          51.62552990          16.46579112        -153.83830246        -137.37251134
    9500          47.93734369          15.28945640        -152.70978538        -137.42032899
    9600          52.75363684          16.82559708        -154.22592004        -137.40032295
    9700          49.37064206          15.74660215        -153.07596364        -137.32936149
    9800          51.55594167          16.44359619        -153.84403202        -137.40043583
    9900          50.06946782          15.96949030        -153.35702638        -137.38753609
   10000          52.55311703          16.76164196        -154.09908716        -137.33744520
Simulation Done.
